model_id,cell_name,id,lengthscale,period_length,outputscale,w,noise_prob,Train Model ELPD,Train Mean Model ELPD,Train Pseudo-R2,Test Model ELPD,Test Mean Model ELPD,Test Pseudo-R2
NEUTRAL_6,NEUTRAL,6,0.7444013062301261,288.09639075636824,3.2934637021486824e-06,-1.2100602593451466,0.010000000000000002,-338.9398389666235,-338.72779783639396,-0.0006259927044189872,-190.36785043056915,-188.28452816782277,-0.011064755468858545
NEUTRAL_7,NEUTRAL,7,0.7414970489867302,252.65067440507568,0.2556347614744812,0.3068089150534068,0.010000000000000002,-332.9341159865001,-344.91588489165565,0.034738234537731505,-182.5167230041848,-167.0856034934466,-0.09235457267473945
NEUTRAL_8,NEUTRAL,8,0.7301899175656573,269.1690571179274,1.10243467760347,-0.20894077936318456,0.010000000000000002,-460.4996004467156,-504.5909405778259,0.08738036414331907,-254.6450289817621,-252.23980532826067,-0.009535464279205597
NEUTRAL_9,NEUTRAL,9,0.7465255276816756,283.7758205496837,0.01943507519321179,-1.8048796109431322,0.010000000000000002,-326.353221937527,-342.5778712240077,0.04736047085735906,-174.77076383200654,-162.11187536097825,-0.07808736061340626
NEUTRAL_10,NEUTRAL,10,0.7443610969697859,373.20892200884396,0.010312609551289717,-0.6010453488389438,0.010000000000000002,-230.99204802516564,-236.14006352039928,0.021800686501419975,-98.78796185460074,-97.6785742713173,-0.011357532514775892
NEUTRAL_11,NEUTRAL,11,0.7324845702878707,296.31053511294186,0.03265617191129845,-1.0240532127089623,0.010000000000000002,-371.2236220247687,-379.48853452029687,0.021779083539310795,-221.64498989243998,-212.17538789557312,-0.04463101065014907
NEUTRAL_12,NEUTRAL,12,0.7367851947437402,302.0234566544997,0.18985981351226872,-1.211410661383753,0.010000000000000002,-358.1604310252244,-405.0162385807547,0.11568871341979015,-279.69160167315795,-209.14886190843038,-0.337284836843208
NEUTRAL_13,NEUTRAL,13,0.7378253807224657,275.1294983961353,0.2059851664459934,-0.3860755156608504,0.010000000000000002,-372.98229971544305,-401.1441806128274,0.07020388742611572,-198.81899756081143,-189.44852690708984,-0.049461829060920115
NEUTRAL_14,NEUTRAL,14,0.7568698735463714,237.39832902368732,0.0933865091096063,-0.7883775724434963,0.010000000000000002,-414.7971040552168,-434.21300184012557,0.04471514602885518,-241.33650090385422,-213.61170845940575,-0.12979060297959855
NEUTRAL_15,NEUTRAL,15,0.7406481915283235,384.4653796495754,0.04241800454755746,0.45029985216615875,0.010000000000000002,-478.2674610990849,-479.86363229128625,0.0033263016506998033,-232.0414120085365,-230.960219001785,-0.004681295382488182
